index,time_window,label,matched_eqs,total_eq
0,2009-10-01 07:01:27.328,0,[],0
1,2009-10-01 10:17:20.187,1,"[{'lat': -52.343, 'long': 13.606, 'Time': Timestamp('2009-10-02 06:31:15'), 'mag': 5.0}]",1
2,2009-10-01 13:36:23.143,0,[],0
3,2009-10-01 16:52:53.175,0,[],0
4,2009-10-01 20:07:23.250,1,"[{'lat': 36.391, 'long': -117.8608333, 'Time': Timestamp('2009-10-03 01:16:00'), 'mag': 5.19}, {'lat': 36.391, 'long': -117.8608333, 'Time': Timestamp('2009-10-03 01:16:00'), 'mag': 5.19}]",2
5,2009-10-01 23:20:53.302,1,"[{'lat': -16.335, 'long': -173.471, 'Time': Timestamp('2009-10-02 01:07:39'), 'mag': 6.1}, {'lat': -16.246, 'long': -173.468, 'Time': Timestamp('2009-10-02 01:09:26'), 'mag': 5.5}, {'lat': -14.929, 'long': -173.608, 'Time': Timestamp('2009-10-02 01:55:03'), 'mag': 5.3}, {'lat': -15.435, 'long': -172.253, 'Time': Timestamp('2009-10-02 02:13:56'), 'mag': 5.3}, {'lat': -16.635, 'long': -172.611, 'Time': Timestamp('2009-10-02 02:46:46'), 'mag': 5.1}, {'lat': -16.473, 'long': -173.371, 'Time': Timestamp('2009-10-02 06:30:38'), 'mag': 5.0}, {'lat': -14.928, 'long': -173.575, 'Time': Timestamp('2009-10-02 11:09:32'), 'mag': 5.0}, {'lat': -15.485, 'long': -173.171, 'Time': Timestamp('2009-10-02 12:01:10'), 'mag': 5.3}, {'lat': -16.478, 'long': -172.669, 'Time': Timestamp('2009-10-02 12:08:31'), 'mag': 5.4}, {'lat': -15.077, 'long': -173.636, 'Time': Timestamp('2009-10-02 13:08:04'), 'mag': 5.0}, {'lat': -16.906, 'long': -172.848, 'Time': Timestamp('2009-10-02 17:11:19'), 'mag': 5.0}, {'lat': -17.153, 'long': -172.633, 'Time': Timestamp('2009-10-02 20:03:02'), 'mag': 5.1}, {'lat': -17.842, 'long': -172.767, 'Time': Timestamp('2009-10-02 22:38:37'), 'mag': 5.4}, {'lat': -16.911, 'long': -172.965, 'Time': Timestamp('2009-10-03 07:16:59'), 'mag': 5.5}, {'lat': -16.335, 'long': -173.471, 'Time': Timestamp('2009-10-02 01:07:39'), 'mag': 6.1}, {'lat': -16.246, 'long': -173.468, 'Time': Timestamp('2009-10-02 01:09:26'), 'mag': 5.5}, {'lat': -14.929, 'long': -173.608, 'Time': Timestamp('2009-10-02 01:55:03'), 'mag': 5.3}, {'lat': -15.435, 'long': -172.253, 'Time': Timestamp('2009-10-02 02:13:56'), 'mag': 5.3}, {'lat': -16.635, 'long': -172.611, 'Time': Timestamp('2009-10-02 02:46:46'), 'mag': 5.1}, {'lat': -16.473, 'long': -173.371, 'Time': Timestamp('2009-10-02 06:30:38'), 'mag': 5.0}, {'lat': -14.928, 'long': -173.575, 'Time': Timestamp('2009-10-02 11:09:32'), 'mag': 5.0}, {'lat': -15.485, 'long': -173.171, 'Time': Timestamp('2009-10-02 12:01:10'), 'mag': 5.3}, {'lat': -16.478, 'long': -172.669, 'Time': Timestamp('2009-10-02 12:08:31'), 'mag': 5.4}, {'lat': -15.077, 'long': -173.636, 'Time': Timestamp('2009-10-02 13:08:04'), 'mag': 5.0}, {'lat': -16.906, 'long': -172.848, 'Time': Timestamp('2009-10-02 17:11:19'), 'mag': 5.0}, {'lat': -17.153, 'long': -172.633, 'Time': Timestamp('2009-10-02 20:03:02'), 'mag': 5.1}, {'lat': -17.842, 'long': -172.767, 'Time': Timestamp('2009-10-02 22:38:37'), 'mag': 5.4}, {'lat': -16.911, 'long': -172.965, 'Time': Timestamp('2009-10-03 07:16:59'), 'mag': 5.5}, {'lat': -17.017, 'long': 174.505, 'Time': Timestamp('2009-10-02 15:47:09'), 'mag': 6.0}, {'lat': -6.031, 'long': 151.372, 'Time': Timestamp('2009-10-02 09:57:16'), 'mag': 5.1}, {'lat': -6.031, 'long': 151.372, 'Time': Timestamp('2009-10-02 09:57:16'), 'mag': 5.1}, {'lat': -6.031, 'long': 151.372, 'Time': Timestamp('2009-10-02 09:57:16'), 'mag': 5.1}]",32
6,2009-10-02 07:31:24.954,0,[],0
7,2009-10-02 10:47:50.588,0,[],0
8,2009-10-02 14:06:44.985,0,[],0
9,2009-10-02 17:22:53.575,0,[],0
10,2009-10-02 20:36:53.651,1,"[{'lat': 36.391, 'long': -117.8608333, 'Time': Timestamp('2009-10-03 01:16:00'), 'mag': 5.19}, {'lat': 36.391, 'long': -117.8608333, 'Time': Timestamp('2009-10-03 01:16:00'), 'mag': 5.19}]",2
11,2009-10-02 23:50:53.893,1,"[{'lat': -5.581, 'long': 148.408, 'Time': Timestamp('2009-10-04 14:43:14'), 'mag': 5.3}, {'lat': -5.945, 'long': 147.564, 'Time': Timestamp('2009-10-04 17:51:54'), 'mag': 5.0}, {'lat': -5.581, 'long': 148.408, 'Time': Timestamp('2009-10-04 14:43:14'), 'mag': 5.3}, {'lat': -5.945, 'long': 147.564, 'Time': Timestamp('2009-10-04 17:51:54'), 'mag': 5.0}, {'lat': -5.581, 'long': 148.408, 'Time': Timestamp('2009-10-04 14:43:14'), 'mag': 5.3}, {'lat': -5.945, 'long': 147.564, 'Time': Timestamp('2009-10-04 17:51:54'), 'mag': 5.0}]",6
12,2009-10-03 04:45:32.713,0,[],0
